occ = 0.294054	 sto = 0.200000	 rate = 4.456125
occ = 0.294039	 sto = 0.500000	 rate = 4.617625
occ = 0.296083	 sto = 0.200000	 rate = 4.166000
occ = 0.295998	 sto = 0.500000	 rate = 5.011875
occ = 0.298077	 sto = 0.200000	 rate = 4.215250
occ = 0.298103	 sto = 0.500000	 rate = 3.966875
occ = 0.300090	 sto = 0.200000	 rate = 4.094875
occ = 0.300099	 sto = 0.500000	 rate = 4.012000
occ = 0.302053	 sto = 0.200000	 rate = 4.480000
occ = 0.302025	 sto = 0.500000	 rate = 4.762875
occ = 0.304052	 sto = 0.200000	 rate = 4.472875
occ = 0.304110	 sto = 0.500000	 rate = 3.895250
occ = 0.306056	 sto = 0.200000	 rate = 4.437375
occ = 0.306119	 sto = 0.500000	 rate = 3.812125
occ = 0.308036	 sto = 0.200000	 rate = 4.627000
occ = 0.307988	 sto = 0.500000	 rate = 5.116500
occ = 0.310074	 sto = 0.200000	 rate = 4.261000
occ = 0.310093	 sto = 0.500000	 rate = 4.070375
occ = 0.312081	 sto = 0.200000	 rate = 4.190375
occ = 0.312119	 sto = 0.500000	 rate = 3.810250
occ = 0.314025	 sto = 0.200000	 rate = 4.745250
occ = 0.314066	 sto = 0.500000	 rate = 4.336250
occ = 0.316060	 sto = 0.200000	 rate = 4.398125
occ = 0.316111	 sto = 0.500000	 rate = 3.893250
occ = 0.318052	 sto = 0.200000	 rate = 4.490000
occ = 0.318030	 sto = 0.500000	 rate = 4.705250
occ = 0.320068	 sto = 0.200000	 rate = 4.322375
occ = 0.320130	 sto = 0.500000	 rate = 3.704375
occ = 0.322079	 sto = 0.200000	 rate = 4.202625
occ = 0.322073	 sto = 0.500000	 rate = 4.267250
occ = 0.324080	 sto = 0.200000	 rate = 4.194375
occ = 0.324096	 sto = 0.500000	 rate = 4.037375
occ = 0.326040	 sto = 0.200000	 rate = 4.605500
occ = 0.326100	 sto = 0.500000	 rate = 4.002625
occ = 0.328086	 sto = 0.200000	 rate = 4.147750
occ = 0.328049	 sto = 0.500000	 rate = 4.521125
occ = 0.330050	 sto = 0.200000	 rate = 4.508000
occ = 0.330045	 sto = 0.500000	 rate = 4.548625
occ = 0.332027	 sto = 0.200000	 rate = 4.722625
occ = 0.332093	 sto = 0.500000	 rate = 4.062875
occ = 0.334050	 sto = 0.200000	 rate = 4.488125
occ = 0.334059	 sto = 0.500000	 rate = 4.407750
occ = 0.336044	 sto = 0.200000	 rate = 4.560125
occ = 0.336115	 sto = 0.500000	 rate = 3.852375
occ = 0.338073	 sto = 0.200000	 rate = 4.286625
occ = 0.338044	 sto = 0.500000	 rate = 4.566625
occ = 0.340068	 sto = 0.200000	 rate = 4.315375
occ = 0.340050	 sto = 0.500000	 rate = 4.496625
occ = 0.342093	 sto = 0.200000	 rate = 4.060625
occ = 0.341986	 sto = 0.500000	 rate = 5.121000
occ = 0.344073	 sto = 0.200000	 rate = 4.264125
occ = 0.344070	 sto = 0.500000	 rate = 4.302375
occ = 0.346080	 sto = 0.200000	 rate = 4.207375
occ = 0.346078	 sto = 0.500000	 rate = 4.220625
occ = 0.348062	 sto = 0.200000	 rate = 4.376500
occ = 0.348060	 sto = 0.500000	 rate = 4.398625
occ = 0.350077	 sto = 0.200000	 rate = 4.226875
occ = 0.350037	 sto = 0.500000	 rate = 4.630000
occ = 0.352063	 sto = 0.200000	 rate = 4.367625
occ = 0.352046	 sto = 0.500000	 rate = 4.537375
occ = 0.354070	 sto = 0.200000	 rate = 4.289500
occ = 0.354136	 sto = 0.500000	 rate = 3.636125
occ = 0.356082	 sto = 0.200000	 rate = 4.181750
occ = 0.356179	 sto = 0.500000	 rate = 3.215375
occ = 0.358078	 sto = 0.200000	 rate = 4.214250
occ = 0.358037	 sto = 0.500000	 rate = 4.618500
occ = 0.360068	 sto = 0.200000	 rate = 4.313625
occ = 0.360072	 sto = 0.500000	 rate = 4.275125
occ = 0.362077	 sto = 0.200000	 rate = 4.237875
occ = 0.362087	 sto = 0.500000	 rate = 4.137125
occ = 0.364049	 sto = 0.200000	 rate = 4.506375
occ = 0.364067	 sto = 0.500000	 rate = 4.340000
occ = 0.366077	 sto = 0.200000	 rate = 4.229500
occ = 0.366024	 sto = 0.500000	 rate = 4.758250
occ = 0.368082	 sto = 0.200000	 rate = 4.167250
occ = 0.368058	 sto = 0.500000	 rate = 4.404500
occ = 0.370051	 sto = 0.200000	 rate = 4.486625
occ = 0.370045	 sto = 0.500000	 rate = 4.545250
occ = 0.372081	 sto = 0.200000	 rate = 4.205750
occ = 0.372088	 sto = 0.500000	 rate = 4.137625
occ = 0.374082	 sto = 0.200000	 rate = 4.186625
occ = 0.374060	 sto = 0.500000	 rate = 4.404250
occ = 0.376064	 sto = 0.200000	 rate = 4.352000
occ = 0.376086	 sto = 0.500000	 rate = 4.129500
occ = 0.378063	 sto = 0.200000	 rate = 4.355625
occ = 0.378034	 sto = 0.500000	 rate = 4.650875
occ = 0.380059	 sto = 0.200000	 rate = 4.414500
occ = 0.380010	 sto = 0.500000	 rate = 4.903500
occ = 0.382065	 sto = 0.200000	 rate = 4.353625
occ = 0.382034	 sto = 0.500000	 rate = 4.668500
occ = 0.384055	 sto = 0.200000	 rate = 4.454250
occ = 0.384036	 sto = 0.500000	 rate = 4.644375
occ = 0.386106	 sto = 0.200000	 rate = 3.948375
occ = 0.386028	 sto = 0.500000	 rate = 4.712750
occ = 0.388084	 sto = 0.200000	 rate = 4.153625
occ = 0.387980	 sto = 0.500000	 rate = 5.190750
occ = 0.390081	 sto = 0.200000	 rate = 4.189625
occ = 0.390151	 sto = 0.500000	 rate = 3.491750
occ = 0.392073	 sto = 0.200000	 rate = 4.275375
occ = 0.392137	 sto = 0.500000	 rate = 3.639500
occ = 0.394076	 sto = 0.200000	 rate = 4.239000
occ = 0.394092	 sto = 0.500000	 rate = 4.076375
occ = 0.396064	 sto = 0.200000	 rate = 4.351625
occ = 0.396038	 sto = 0.500000	 rate = 4.617125
occ = 0.398074	 sto = 0.200000	 rate = 4.270875
occ = 0.398078	 sto = 0.500000	 rate = 4.234500
occ = 0.400068	 sto = 0.200000	 rate = 4.321750
occ = 0.400076	 sto = 0.500000	 rate = 4.246375
occ = 0.402120	 sto = 0.200000	 rate = 3.803375
occ = 0.402064	 sto = 0.500000	 rate = 4.356000
occ = 0.404055	 sto = 0.200000	 rate = 4.442750
occ = 0.404063	 sto = 0.500000	 rate = 4.359750
occ = 0.406099	 sto = 0.200000	 rate = 4.010875
occ = 0.406109	 sto = 0.500000	 rate = 3.913375
occ = 0.408096	 sto = 0.200000	 rate = 4.055000
occ = 0.407996	 sto = 0.500000	 rate = 5.060750
occ = 0.410074	 sto = 0.200000	 rate = 4.266000
occ = 0.410066	 sto = 0.500000	 rate = 4.347625
occ = 0.412052	 sto = 0.200000	 rate = 4.473125
occ = 0.412083	 sto = 0.500000	 rate = 4.159500
occ = 0.414086	 sto = 0.200000	 rate = 4.138500
occ = 0.414070	 sto = 0.500000	 rate = 4.287125
occ = 0.416044	 sto = 0.200000	 rate = 4.561625
occ = 0.416055	 sto = 0.500000	 rate = 4.450875
occ = 0.418065	 sto = 0.200000	 rate = 4.355625
occ = 0.418034	 sto = 0.500000	 rate = 4.680250
occ = 0.420082	 sto = 0.200000	 rate = 4.180625
occ = 0.420037	 sto = 0.500000	 rate = 4.617000
occ = 0.422072	 sto = 0.200000	 rate = 4.266250
occ = 0.422092	 sto = 0.500000	 rate = 4.062000
occ = 0.424046	 sto = 0.200000	 rate = 4.531125
occ = 0.424112	 sto = 0.500000	 rate = 3.868625
occ = 0.426098	 sto = 0.200000	 rate = 4.023375
occ = 0.426004	 sto = 0.500000	 rate = 4.971000
occ = 0.428094	 sto = 0.200000	 rate = 4.060750
occ = 0.428020	 sto = 0.500000	 rate = 4.806500
occ = 0.430091	 sto = 0.200000	 rate = 4.088500
occ = 0.430067	 sto = 0.500000	 rate = 4.323125
occ = 0.432104	 sto = 0.200000	 rate = 3.939625
occ = 0.432176	 sto = 0.500000	 rate = 3.221625
occ = 0.434054	 sto = 0.200000	 rate = 4.449625
occ = 0.434092	 sto = 0.500000	 rate = 4.072000
occ = 0.436073	 sto = 0.200000	 rate = 4.278250
occ = 0.436053	 sto = 0.500000	 rate = 4.482500
occ = 0.438072	 sto = 0.200000	 rate = 4.274250
occ = 0.438054	 sto = 0.500000	 rate = 4.459625
occ = 0.440089	 sto = 0.200000	 rate = 4.106625
occ = 0.440120	 sto = 0.500000	 rate = 3.798000
occ = 0.442046	 sto = 0.200000	 rate = 4.554750
occ = 0.441978	 sto = 0.500000	 rate = 5.236250
occ = 0.444059	 sto = 0.200000	 rate = 4.418625
occ = 0.444164	 sto = 0.500000	 rate = 3.363750
occ = 0.446055	 sto = 0.200000	 rate = 4.446625
occ = 0.446107	 sto = 0.500000	 rate = 3.933750
occ = 0.448075	 sto = 0.200000	 rate = 4.238750
occ = 0.448106	 sto = 0.500000	 rate = 3.929125
occ = 0.450099	 sto = 0.200000	 rate = 4.012750
occ = 0.450177	 sto = 0.500000	 rate = 3.228500
occ = 0.452101	 sto = 0.200000	 rate = 4.007125
occ = 0.452133	 sto = 0.500000	 rate = 3.687625
occ = 0.454103	 sto = 0.200000	 rate = 3.982250
occ = 0.454127	 sto = 0.500000	 rate = 3.738625
occ = 0.456086	 sto = 0.200000	 rate = 4.134500
occ = 0.456032	 sto = 0.500000	 rate = 4.679500
occ = 0.458087	 sto = 0.200000	 rate = 4.115250
occ = 0.458079	 sto = 0.500000	 rate = 4.188250
occ = 0.460121	 sto = 0.200000	 rate = 3.788250
occ = 0.460137	 sto = 0.500000	 rate = 3.630375
occ = 0.462100	 sto = 0.200000	 rate = 4.017125
occ = 0.462112	 sto = 0.500000	 rate = 3.892500
occ = 0.464069	 sto = 0.200000	 rate = 4.309000
occ = 0.464087	 sto = 0.500000	 rate = 4.132875
occ = 0.466101	 sto = 0.200000	 rate = 3.973375
occ = 0.466123	 sto = 0.500000	 rate = 3.756625
occ = 0.468071	 sto = 0.200000	 rate = 4.268250
occ = 0.468088	 sto = 0.500000	 rate = 4.108500
occ = 0.470106	 sto = 0.200000	 rate = 3.941500
occ = 0.470132	 sto = 0.500000	 rate = 3.687625
occ = 0.472092	 sto = 0.200000	 rate = 4.086750
occ = 0.472159	 sto = 0.500000	 rate = 3.411500
occ = 0.474071	 sto = 0.200000	 rate = 4.272875
occ = 0.474080	 sto = 0.500000	 rate = 4.194250
occ = 0.476102	 sto = 0.200000	 rate = 3.965750
occ = 0.476082	 sto = 0.500000	 rate = 4.164500
occ = 0.478095	 sto = 0.200000	 rate = 4.032375
occ = 0.478171	 sto = 0.500000	 rate = 3.270500
occ = 0.480110	 sto = 0.200000	 rate = 3.912000
occ = 0.480076	 sto = 0.500000	 rate = 4.244375
