N = 965	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.698956	MeanO1 = 0.096598	MeanV2 = 4.700353	MeanO2 = 0.096403	 rate = 0.001375
N = 985	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.706874	MeanO1 = 0.093201	MeanV2 = 4.673746	MeanO2 = 0.103798	 rate = 0.000000
N = 985	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.691251	MeanO1 = 0.098372	MeanV2 = 4.689388	MeanO2 = 0.098626	 rate = 0.000125
N = 1005	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.701245	MeanO1 = 0.095001	MeanV2 = 4.666875	MeanO2 = 0.105996	 rate = 0.000000
N = 1005	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.684506	MeanO1 = 0.100595	MeanV2 = 4.685356	MeanO2 = 0.100402	 rate = 0.001500
N = 1025	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.688126	MeanO1 = 0.099203	MeanV2 = 4.667501	MeanO2 = 0.105803	 rate = 0.000000
N = 1025	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.679104	MeanO1 = 0.102396	MeanV2 = 4.678505	MeanO2 = 0.102600	 rate = 0.002125
N = 1045	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.665627	MeanO1 = 0.106406	MeanV2 = 4.677503	MeanO2 = 0.102600	 rate = 0.000000
N = 1045	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.670871	MeanO1 = 0.104401	MeanV2 = 4.671246	MeanO2 = 0.104605	 rate = 0.000125
N = 1065	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.663121	MeanO1 = 0.107201	MeanV2 = 4.667501	MeanO2 = 0.105803	 rate = 0.000000
N = 1065	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.665627	MeanO1 = 0.106406	MeanV2 = 4.665001	MeanO2 = 0.106598	 rate = 0.000000
N = 1085	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.643744	MeanO1 = 0.113403	MeanV2 = 4.674376	MeanO2 = 0.103605	 rate = 0.000000
N = 1085	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.658994	MeanO1 = 0.108603	MeanV2 = 4.659874	MeanO2 = 0.108399	 rate = 0.000750
N = 1105	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.660633	MeanO1 = 0.108002	MeanV2 = 4.644997	MeanO2 = 0.113005	 rate = 0.000000
N = 1105	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.651640	MeanO1 = 0.110679	MeanV2 = 4.658218	MeanO2 = 0.110321	 rate = 0.004625
N = 1125	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.643128	MeanO1 = 0.113595	MeanV2 = 4.650013	MeanO2 = 0.111396	 rate = 0.000000
N = 1125	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.645883	MeanO1 = 0.112453	MeanV2 = 4.649985	MeanO2 = 0.112547	 rate = 0.003000
N = 1145	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.646878	MeanO1 = 0.112397	MeanV2 = 4.633752	MeanO2 = 0.116601	 rate = 0.000000
N = 1145	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.643360	MeanO1 = 0.114566	MeanV2 = 4.642223	MeanO2 = 0.114432	 rate = 0.002750
N = 1165	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.629992	MeanO1 = 0.117798	MeanV2 = 4.638132	MeanO2 = 0.115202	 rate = 0.000000
N = 1165	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.652579	MeanO1 = 0.116260	MeanV2 = 4.632906	MeanO2 = 0.116736	 rate = 0.013125
N = 1185	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.644997	MeanO1 = 0.113005	MeanV2 = 4.610625	MeanO2 = 0.123995	 rate = 0.000000
N = 1185	 sto = 0.000000	 sw = 1.000000	MeanV1 = 4.627244	MeanO1 = 0.118431	MeanV2 = 4.629622	MeanO2 = 0.118568	 rate = 0.001875
N = 1205	 sto = 0.000000	 sw = 0.000000	MeanV1 = 4.628117	MeanO1 = 0.118402	MeanV2 = 4.615007	MeanO2 = 0.122596	 rate = 0.000000
